Name,Matches,Innings,Not_outs,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,2022_Team,2023_Team,Country
Mayank Agarwal,10,10,0,270,83,27,210,128.57,0,1,0,29,6,Punjab Kings,Sunrisers Hyderabad,India
Devdutt Padikkal,11,11,1,261,52,26.1,200,130.5,0,2,0,31,6,Rajasthan Royals,Rajasthan Royals,India
David Miller,16,13,5,259,46,32.37,178,145.5,0,0,1,18,13,Gujarat Titans,Gujarat Titans,South Africa
Aiden Markram,13,13,2,248,50,22.54,197,125.88,0,1,1,18,8,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Nehal Wadhera,14,10,1,241,64,26.77,166,145.18,0,2,1,23,12,Not in IPL,Mumbai Indians,India
Ayush Badoni,15,12,2,238,59*,23.8,172,138.37,0,1,0,13,12,Lucknow Super Giants,Lucknow Super Giants,India
Tim David,16,15,6,231,45*,25.66,146,158.21,0,0,2,12,15,Mumbai Indians,Mumbai Indians,Singapore
Rahmanullah Gurbaz,11,11,0,227,81,20.63,170,133.52,0,2,2,17,15,Not in IPL,Kolkata Knight Riders,Afghanistan
Andre Russell,14,14,3,227,42,20.63,156,145.51,0,0,1,13,18,Kolkata Knight Riders,Kolkata Knight Riders,West Indies
Abhishek Sharma,11,11,0,226,67,20.54,157,143.94,0,2,1,28,6,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Phil Salt,9,9,1,218,87,27.25,133,163.9,0,2,2,24,10,Not in IPL,Delhi Capitals,England
Rilee Rossouw,9,9,2,209,82*,29.85,141,148.22,0,1,2,17,11,Not in IPL,Delhi Capitals,South Africa
Harry Brook,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,Not in IPL,Sunrisers Hyderabad,England
Ravindra Jadeja,16,12,4,190,25*,23.75,133,142.85,0,0,0,11,9,Chennai Super Kings,Chennai Super Kings,India
Krunal Pandya,15,14,4,188,49*,18.8,165,113.93,0,0,3,15,6,Lucknow Super Giants,Lucknow Super Giants,India
Atharva Taide,7,7,0,186,66,26.57,129,144.18,0,2,1,20,6,Not in IPL,Punjab Kings,India
Abdul Samad,9,8,4,169,37*,42.25,128,132.03,0,0,0,10,11,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Manish Pandey,10,9,0,160,50,17.77,146,109.58,0,1,2,15,3,Lucknow Super Giants,Delhi Capitals,India
Ambati Rayudu,16,12,2,158,27*,15.8,113,139.82,0,0,1,10,9,Chennai Super Kings,Chennai Super Kings,India
M. Shahrukh Khan,14,13,6,156,41*,22.28,94,165.95,0,0,0,13,9,Punjab Kings,Punjab Kings,India
Dhruv Jurel,13,11,4,152,34*,21.71,88,172.72,0,0,1,11,9,Not in IPL,Rajasthan Royals,India
Quinton de Kock,4,4,0,143,70,35.75,102,140.19,0,1,0,10,8,Lucknow Super Giants,Lucknow Super Giants,South Africa
